sample,genotype
CD0389i,mlh.1
CD0389j,mlh.1
CD0389k,mlh.1
CD0390a,mlh.1
CD0390c,mlh.1
CD0391a,mlh.1
CD0391e,mlh.1
CD0391f,mlh.1
CD0391g,mlh.1
CD0391h,mlh.1
CD0391i,mlh.1
CD0391j,mlh.1
CD0391k,mlh.1
CD0393c,mlh.1
CD0393d,mlh.1
CD0394a,mlh.1
CD0394c,mlh.1
CD0394d,mlh.1
CD0395a,mlh.1
CD0395c,mlh.1
CD0396a,mlh.1
CD0396c,mlh.1
CD0397a,mlh.1
CD0397c,mlh.1
CD0397d,mlh.1
CD0398a,mlh.1
CD0398c,mlh.1
CD0398d,mlh.1
CD0399c,mlh.1
CD0400a,mlh.1
CD0400c,mlh.1
CD0400d,mlh.1
CD0401a,mlh.1
CD0401d,mlh.1
CD0402a,mlh.1
CD0402c,mlh.1
CD0403a,mlh.1
CD0404a,mlh.1
CD0404d,mlh.1
CD0405a,mlh.1
CD0405c,mlh.1
CD0405d,mlh.1
CD0406a,mlh.1
CD0406c,mlh.1
CD0406d,mlh.1
CD0407c,mlh.1
CD0407d,mlh.1
CD0408a,mlh.1
CD0408c,mlh.1
CD0408d,mlh.1
CD0409a,mlh.1
CD0409c,mlh.1
CD0409d,mlh.1
CD0413a,mlh.1
CD0413c,mlh.1
CD0414a,mlh.1
CD0414c,mlh.1
CD0414d,mlh.1
CD0415a,mlh.1
CD0415c,mlh.1
CD0415d,mlh.1
CD0416a,mlh.1
CD0416c,mlh.1
CD0416d,mlh.1
CD0417a,mlh.1
CD0418a,mlh.1
CD0418c,mlh.1
CD0418d,mlh.1
CD0419a,mlh.1
CD0419c,mlh.1
CD0419d,mlh.1
CD0420a,mlh.1
CD0420c,mlh.1
CD0420d,mlh.1
CD0421a,mlh.1
CD0421c,mlh.1
CD0421d,mlh.1
CD0423a,mlh.1
CD0423c,mlh.1
CD0423d,mlh.1
CD0424a,mlh.1
CD0424c,mlh.1
CD0424d,mlh.1
CD0428c,mlh.1
CD0428d,mlh.1
CD0429c,mlh.1
CD0429d,mlh.1
CD0430a,mlh.1
CD0430d,mlh.1
CD0431c,mlh.1
CD0432a,mlh.1
CD0434c,mlh.1
CD0435a,mlh.1
CD0436a,mlh.1
CD0436c,mlh.1
CD0437c,mlh.1
CD0438a,mlh.1
CD0438c,mlh.1
CD0439a,mlh.1
CD0439c,mlh.1
CD0439d,mlh.1
CD0440a,mlh.1
CD0440c,mlh.1
CD0440d,mlh.1
CD0441a,mlh.1
CD0441d,mlh.1
CD0442a,mlh.1
CD0442d,mlh.1
CD0443a,mlh.1
CD0443c,mlh.1
CD0443d,mlh.1
CD0444a,mlh.1
CD0444d,mlh.1
CD0445a,mlh.1
CD0445c,mlh.1
CD0445d,mlh.1
CD0446a,mlh.1
CD0446c,mlh.1
CD0446d,mlh.1
CD0447c,mlh.1
CD0448a,mlh.1
CD0448c,mlh.1
CD0448d,mlh.1
CD0449a,mlh.1
CD0449c,mlh.1
CD0449d,mlh.1
CD0450d,mlh.1
CD0451a,mlh.1
CD0451c,mlh.1
CD0451d,mlh.1
CD0452a,mlh.1
CD0452c,mlh.1
CD0452d,mlh.1
CD0453a,mlh.1
CD0453c,mlh.1
CD0453d,mlh.1
CD0454a,mlh.1
CD0454c,mlh.1
CD0454d,mlh.1
CD0455a,mlh.1
CD0455c,mlh.1
CD0455d,mlh.1
CD0456a,mlh.1
CD0456d,mlh.1
CD0457c,mlh.1
CD0457d,mlh.1
CD0458a,mlh.1
CD0458c,mlh.1
CD0458d,mlh.1
CD0460c,mlh.1
CD0460d,mlh.1
CD0461a,mlh.1
CD0461c,mlh.1
CD0461d,mlh.1
CD0462d,mlh.1
CD0463c,mlh.1
CD0463d,mlh.1
CD0464a,mlh.1
CD0464c,mlh.1
CD0464d,mlh.1
CD0465c,mlh.1
CD0466a,mlh.1
CD0466c,mlh.1
CD0467a,mlh.1
CD0467c,mlh.1
CD0467d,mlh.1
CD0468d,mlh.1
CD0469a,mlh.1
CD0469c,mlh.1
CD0469d,mlh.1
CD0470a,mlh.1
CD0470c,mlh.1
CD0470d,mlh.1
CD0471a,mlh.1
CD0471c,mlh.1
CD0472a,mlh.1
CD0472d,mlh.1
CD0473a,mlh.1
CD0473c,mlh.1
CD0475a,mlh.1
CD0475c,mlh.1
CD0475d,mlh.1
CD0476a,mlh.1
CD0476c,mlh.1
CD0476d,mlh.1
CD0477a,mlh.1
CD0477c,mlh.1
CD0477d,mlh.1
CD0478c,mlh.1
CD0478d,mlh.1
CD0479a,mlh.1
CD0479c,mlh.1
CD0480d,mlh.1
CD0481a,mlh.1
CD0481c,mlh.1
CD0481d,mlh.1
CD0482a,mlh.1
CD0482c,mlh.1
CD0482d,mlh.1
CD0483d,mlh.1
CD0484a,mlh.1
CD0484c,mlh.1
CD0484d,mlh.1
CD0485a,mlh.1
CD0485c,mlh.1
CD0485d,mlh.1
CD0486c,mlh.1
CD0487a,mlh.1
CD0487c,mlh.1
CD0488a,mlh.1
CD0488c,mlh.1
CD0488d,mlh.1
CD0489a,mlh.1
CD0489c,mlh.1
CD0489d,mlh.1
CD0490a,mlh.1
CD0490c,mlh.1
CD0490d,mlh.1
CD0491a,mlh.1
CD0491c,mlh.1
CD0492a,mlh.1
CD0492c,mlh.1
CD0492d,mlh.1
CD0493a,mlh.1
CD0493c,mlh.1
CD0494a,mlh.1
CD0494c,mlh.1
CD0494d,mlh.1
CD0495a,mlh.1
CD0495c,mlh.1
CD0495d,mlh.1
CD0496a,mlh.1
CD0496c,mlh.1
